無題のレポート
全期間
デバイス,年齢,通貨コード,費用,表示回数,クリック数,コンバージョン,コンバージョン単価
コンピュータ,25～34 才,JPY,33993,590,38,2.00,16997
コンピュータ,65 才以上,JPY,3818,188,9,1.00,3818
タブレット,45～54 才,JPY,2572,32,5,0.00,0
タブレット,65 才以上,JPY,0,21,0,0.00,0
タブレット,25～34 才,JPY,340,12,1,0.00,0
コンピュータ,55～64 才,JPY,2563,241,8,0.00,0
スマートフォン,不明,JPY,34780,"7,399",140,0.00,0
スマートフォン,55～64 才,JPY,28554,"3,508",110,1.00,28554
スマートフォン,65 才以上,JPY,41122,"3,596",131,0.00,0
スマートフォン,25～34 才,JPY,39002,"2,768",95,1.00,39002
スマートフォン,18～24 才,JPY,21789,"1,169",33,0.00,0
コンピュータ,35～44 才,JPY,33582,720,43,1.00,33582
コンピュータ,45～54 才,JPY,15948,601,29,0.00,0
スマートフォン,35～44 才,JPY,39478,"3,146",99,1.00,39478
タブレット,55～64 才,JPY,476,19,4,0.00,0
タブレット,35～44 才,JPY,168,14,1,0.00,0
コンピュータ,18～24 才,JPY,6350,98,7,0.00,0
タブレット,不明,JPY,0,29,0,0.00,0
コンピュータ,不明,JPY,35931,"3,941",96,2.00,17965
タブレット,18～24 才,JPY,858,2,2,0.00,0
スマートフォン,45～54 才,JPY,37033,"3,942",115,1.00,37033
