日付,費用(モバイル),費用(パソコン),費用(タブレット)
2026年4月1日(水),"￥23,955","￥3,438",￥0
2026年4月2日(木),"￥15,540","￥3,619",￥0
2026年4月3日(金),"￥14,455",￥173,￥0
2026年4月4日(土),"￥5,182","￥2,271",￥0
2026年4月5日(日),"￥3,705","￥9,522",￥0
2026年4月6日(月),"￥15,922","￥1,675",￥0
2026年4月7日(火),"￥15,226","￥1,015","￥1,346"
2026年4月8日(水),"￥5,269","￥2,246",￥0
2026年4月9日(木),"￥4,948",￥498,￥0
2026年4月10日(金),"￥5,671",￥534,￥0
2026年4月11日(土),￥0,￥469,￥0
2026年4月12日(日),"￥2,289","￥2,422",￥0
2026年4月13日(月),"￥9,895",￥0,￥0
2026年4月14日(火),"￥2,106","￥2,235",￥0
2026年4月15日(水),"￥4,421",￥339,￥0
2026年4月16日(木),"￥3,405",￥193,￥0
2026年4月17日(金),￥913,"￥2,174",￥0
2026年4月18日(土),￥0,￥0,￥0
2026年4月19日(日),"￥3,147","￥1,085",￥0
2026年4月20日(月),"￥8,333","￥1,667",￥0
2026年4月21日(火),"￥3,129","￥6,839",￥0
2026年4月22日(水),"￥2,508","￥4,170",￥0
2026年4月23日(木),"￥2,631","￥3,082",￥0
2026年4月24日(金),"￥1,557","￥1,688",￥0
2026年4月25日(土),￥450,"￥2,304",￥0
2026年4月26日(日),￥0,￥241,￥0
2026年4月27日(月),"￥1,089",￥556,￥0
2026年4月28日(火),￥0,￥0,￥0
2026年4月29日(水),￥921,￥0,￥0
2026年4月30日(木),￥325,"￥4,628",￥0
2026年5月1日(金),￥750,"￥1,567",￥0
2026年5月2日(土),￥348,"￥1,674",￥0
2026年5月3日(日),￥605,￥415,￥0
2026年5月4日(月),"￥3,840","￥4,246",￥0
2026年5月5日(火),"￥6,015","￥2,349",￥0
2026年5月6日(水),"￥1,444","￥3,873",￥0
2026年5月7日(木),￥508,"￥2,581",￥540
2026年5月8日(金),"￥1,348","￥3,949",￥0
2026年5月9日(土),￥813,"￥3,765",￥0
2026年5月10日(日),￥0,"￥5,774",￥0
2026年5月11日(月),"￥1,452","￥1,853",￥0
2026年5月12日(火),￥421,"￥2,634",￥858
2026年5月13日(水),"￥1,930","￥1,095",￥0
2026年5月14日(木),￥375,￥988,￥0
2026年5月15日(金),￥0,"￥1,005",￥0
